layer	token	position	expert	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error	maximum_bf16_vs_rust_absolute_error	maximum_bf16_vs_rust_relative_error
24	1	0	85	activated_gate	2.11596488952636719e-6	9.44069688557647169e-6	1.12367316614836454e-3	5.35676479339599609e-2	9.92345333099365234e0
24	1	0	85	activated_product	2.68220901489257812e-6	9.22544131753966212e-6	1.31917255930602551e-3	3.82165163755416870e-2	2.63233890533447266e1
24	1	0	85	down_projection	7.89761543273925781e-7	4.01748502554255538e-6	8.21078009903430939e-3	1.60979218780994415e-2	1.78777490234375000e3
24	1	0	85	routing_weight	8.64267349243164062e-7	1.86966499313712120e-5	3.08376866087201051e-6	2.93889641761779785e-3	1.03773446753621101e-2
24	1	0	85	weighted_expert_output	5.96046447753906250e-7	2.78813922705012374e-6	8.20761919021606445e-3	4.67103719711303711e-3	1.77248974609375000e3
24	1	7	8	expert_input	4.05311584472656250e-6	1.26593477034475654e-5	5.59366866946220398e-2	8.18967446684837341e-2	5.73695640563964844e1
24	1	7	8	gate_projection	5.96046447753906250e-6	1.98813922906992957e-5	5.50397962797433138e-4	1.01237475872039795e-1	2.07492961883544922e1
24	1	7	8	up_projection	4.52995300292968750e-6	1.55898596858605742e-5	1.32522464264184237e-3	8.20435285568237305e-2	1.35627584457397461e1
24	1	7	8	activated_gate	2.98023223876953125e-6	9.44069688557647169e-6	5.49957156181335449e-4	7.74466991424560547e-2	2.09856719970703125e1
24	1	7	8	activated_product	2.74181365966796875e-6	9.22544131753966212e-6	1.32699171081185341e-3	4.50248718261718750e-2	2.27660655975341797e1
24	1	7	8	down_projection	1.00582838058471680e-6	4.01748502554255538e-6	3.62925343215465546e-2	2.21090018749237061e-2	2.34361068725585938e2
24	1	7	8	routing_weight	1.67638063430786133e-7	1.86966499313712120e-5	2.74379976872296538e-6	6.20558857917785645e-5	1.01672369055449963e-3
24	1	7	8	weighted_expert_output	8.38190317153930664e-8	2.78813922705012374e-6	3.62953618168830872e-2	1.34365260601043701e-3	2.34219879150390625e2
24	1	NA	NA	aggregated_moe_output	7.15255737304687500e-7	3.14576709570246749e-6	3.29679832793772221e-3	7.59342126548290253e-3	2.65834598541259766e1
