layer	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error
42	attention_output	2.05039978027343750e-5	6.48498535156250000e-5	9.18058771640062332e-3
42	residual_output	2.31933593750000000e-3	2.38418579101562500e-3	3.64357739686965942e-1
42	post_attention_rmsnorm	2.36511230468750000e-4	6.95850793272256851e-3	3.64358276128768921e-1
43	input_rmsnorm	1.23977661132812500e-5	6.95850793272256851e-3	9.19897668063640594e-3
43	attention_output	1.33514404296875000e-5	5.05447387695312500e-5	8.28372463583946228e-2
43	residual_output	2.31933593750000000e-3	2.36988067626953125e-3	5.02405129373073578e-2
43	post_attention_rmsnorm	1.83105468750000000e-4	6.95850793272256851e-3	5.02404049038887024e-2
44	input_rmsnorm	1.47819519042968750e-5	6.95850793272256851e-3	4.41315257921814919e-3
44	attention_output	2.76565551757812500e-5	7.20024108886718750e-5	6.88926549628376961e-3
44	residual_output	2.31933593750000000e-3	2.39133834838867188e-3	7.05758994445204735e-3
44	post_attention_rmsnorm	1.90734863281250000e-4	6.95850793272256851e-3	7.05710984766483307e-3
45	input_rmsnorm	2.57492065429687500e-5	6.95850793272256851e-3	4.70041148364543915e-2
45	attention_output	8.82148742675781250e-6	8.60691070556640625e-5	1.37670990079641342e-2
45	residual_output	2.31933593750000000e-3	2.40540504455566406e-3	2.08801887929439545e-2
45	post_attention_rmsnorm	1.75476074218750000e-4	6.95850793272256851e-3	2.08796001970767975e-2
46	input_rmsnorm	2.28881835937500000e-5	6.95850793272256851e-3	5.15465736389160156e-2
46	attention_output	4.29153442382812500e-5	1.11579895019531250e-4	2.03507170081138611e-2
46	residual_output	2.31933593750000000e-3	2.43091583251953125e-3	5.48862107098102570e-2
46	post_attention_rmsnorm	2.44140625000000000e-4	6.95850793272256851e-3	5.48869036138057709e-2
47	input_rmsnorm	3.05175781250000000e-5	2.93018738739192486e-3	4.53696725890040398e-3
47	attention_output	1.37329101562500000e-4	2.28881835937500000e-4	2.71442974917590618e-3
47	residual_output	9.15527343750000000e-4	1.20544433593750000e-3	2.78074860572814941e-1
47	post_attention_rmsnorm	7.62939453125000000e-5	2.74708191864192486e-3	2.78073430061340332e-1
resources	dense_bytes_read	3675078656	expert_bytes_read=19723714560	total_artifact_bytes_read=23398793216	total_unique_experts=1045	total_expert_occurrences=1504	hits=0	misses=1045	loads=1045	evictions=1044	resident_bytes=18874368	peak_expert_resident_bytes=18874368	modeled_peak_explicit_bytes=136869670
